Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Month,Order Year,Profit Margin
5328,CA-2015-130813,2015-01-06,2015-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.33,2015-01,2015,0.47993827160493824
7661,CA-2015-105417,2015-01-07,2015-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,0.6,-53.71,2015-01,2015,-0.6999869672878926
7662,CA-2015-105417,2015-01-07,2015-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.8,-18.25,2015-01,2015,-1.7497603068072867
593,CA-2015-135405,2015-01-09,2015-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.34,2,0.2,1.17,2015-01,2015,0.1252676659528908
594,CA-2015-135405,2015-01-09,2015-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75,2015-01,2015,0.3125
867,CA-2015-149020,2015-01-10,2015-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.3,2015-01,2015,0.4100885637273778
866,CA-2015-149020,2015-01-10,2015-01-15,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0.0,1.36,2015-01,2015,0.47058823529411764
717,CA-2015-130092,2015-01-11,2015-01-14,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.08,2015-01,2015,0.3098591549295775
768,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.35,2015-01,2015,0.059991616891962696
767,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0.0,2.71,2015-01,2015,0.4804964539007092
4940,CA-2015-157147,2015-01-13,2015-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0.0,6.57,2015-01,2015,0.3301507537688443
9630,CA-2015-118192,2015-01-13,2015-01-18,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,0.7,-2.52,2015-01,2015,-0.7325581395348837
4938,CA-2015-157147,2015-01-13,2015-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0.0,238.65,2015-01,2015,0.17999773730059962
9629,CA-2015-118192,2015-01-13,2015-01-18,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.41,7,0.2,13.09,2015-01,2015,0.34990644212777333
764,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0.0,5.34,2015-01,2015,0.47007042253521125
2979,CA-2015-109232,2015-01-13,2015-01-16,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0.0,87.35,2015-01,2015,0.15999926731875294
4939,CA-2015-157147,2015-01-13,2015-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.0,3,0.15,3.93,2015-01,2015,0.011766467065868263
765,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,2015-01,2015,0.5
766,CA-2015-162775,2015-01-13,2015-01-15,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.7,2015-01,2015,0.4000061848656338
6475,CA-2015-149524,2015-01-14,2015-01-15,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.29,2015-01,2015,-0.8600710135571336
1914,CA-2015-103366,2015-01-15,2015-01-17,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0.0,65.98,2015-01,2015,0.4400133377792598
974,CA-2015-115791,2015-01-16,2015-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,0.2,10.15,2015-01,2015,0.33754572663784504
971,CA-2015-115791,2015-01-16,2015-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,0.2,28.6,2015-01,2015,0.22501966955153424
972,CA-2015-115791,2015-01-16,2015-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05,2015-01,2015,-0.25
973,CA-2015-115791,2015-01-16,2015-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,0.7,-13.63,2015-01,2015,-0.7331898870360409
5365,CA-2015-123477,2015-01-18,2015-01-21,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,0.2,6.49,2015-01,2015,0.10006167129201357
5463,CA-2015-146591,2015-01-19,2015-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.72,2015-01,2015,-0.7334570191713048
5464,CA-2015-146591,2015-01-19,2015-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,0.2,19.62,2015-01,2015,0.3499821619693186
5465,CA-2015-146591,2015-01-19,2015-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.69,2015-01,2015,0.3374724061810154
5466,CA-2015-146591,2015-01-19,2015-01-20,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.6,2015-01,2015,-1.7666831983247921
6333,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0.0,4.86,2015-01,2015,0.329938900203666
6334,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0.0,13.36,2015-01,2015,0.4498316498316498
5737,CA-2015-148614,2015-01-20,2015-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0.0,9.29,2015-01,2015,0.47985537190082644
7121,US-2015-147774,2015-01-20,2015-01-26,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,0.7,-51.52,2015-01,2015,-0.7667807709480579
6332,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0.0,12.74,2015-01,2015,0.29007285974499086
1124,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0.0,11.58,2015-01,2015,0.3
1125,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0.0,1.79,2015-01,2015,0.26998491704374056
6331,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.98,2015-01,2015,0.2400120156203064
1127,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0.0,224.27,2015-01,2015,0.21000243459370377
6329,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0.0,8.95,2015-01,2015,0.4698162729658792
6328,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.02,2015-01,2015,0.10998754304975453
6327,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.05,2015-01,2015,0.2896995708154506
1126,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0.0,10.97,2015-01,2015,0.47000856898029136
1123,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0.0,6.66,2015-01,2015,0.29006968641114983
5738,CA-2015-148614,2015-01-20,2015-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0.0,5.79,2015-01,2015,0.3
6330,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,0.1,93.58,2015-01,2015,0.3777652187954142
1122,US-2015-147627,2015-01-20,2015-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0.0,181.98,2015-01,2015,0.25999742831426
9990,CA-2015-110422,2015-01-21,2015-01-23,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,0.2,4.1,2015-01,2015,0.16237623762376235
9887,CA-2015-146997,2015-01-23,2015-01-27,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,0.0,2015-01,2015,0.0
9156,CA-2015-102645,2015-01-23,2015-01-28,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0.0,19.24,2015-01,2015,0.4800399201596806
2582,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0.0,8.34,2015-01,2015,0.5
8151,CA-2015-167997,2015-01-26,2015-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.0,39.75,2015-01,2015,0.28000845308537614
2585,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2,0.0,52.63,2015-01,2015,0.27997659325460156
2584,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0.0,4.47,2015-01,2015,0.35990338164251207
2583,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13,0.0,0.0,2015-01,2015,0.0
2581,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,0.0,9.33,2015-01,2015,0.47993827160493824
2580,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0.0,0.0,2015-01,2015,0.0
2579,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0.0,30.78,2015-01,2015,0.4899713467048711
8150,CA-2015-167997,2015-01-26,2015-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0.0,5.02,2015-01,2015,0.4700374531835206
3795,US-2015-117163,2015-01-27,2015-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0.0,14.31,2015-01,2015,0.25004368338284116
3797,US-2015-117163,2015-01-27,2015-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0.0,12.03,2015-01,2015,0.33013172338090013
3796,US-2015-117163,2015-01-27,2015-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333.0,3,0.2,-16.65,2015-01,2015,-0.049999999999999996
3084,CA-2015-100328,2015-01-28,2015-02-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,0.2,1.33,2015-01,2015,0.3384223918575064
6389,CA-2015-134103,2015-01-30,2015-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0.0,6.9,2015-01,2015,0.030007828129077152
6388,CA-2015-134103,2015-01-30,2015-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0.0,4.75,2015-01,2015,0.449810606060606
3366,CA-2015-115161,2015-01-31,2015-02-02,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,0.15,3.42,2015-01,2015,0.011765920115595003
541,CA-2015-140795,2015-02-01,2015-02-03,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0.0,206.32,2015-02,2015,0.4400085306035402
9138,CA-2015-123400,2015-02-02,2015-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.34,2,0.7,-12.22,2015-02,2015,-0.6663031624863687
9139,CA-2015-123400,2015-02-02,2015-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.57,2015-02,2015,0.07498894783377542
1704,CA-2015-139857,2015-02-02,2015-02-06,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5,0.0,5.8,2015-02,2015,0.46963562753036436
1519,CA-2015-111059,2015-02-03,2015-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,0.2,4.31,2015-02,2015,0.32479276563677467
1518,CA-2015-111059,2015-02-03,2015-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.25,2015-02,2015,0.32502385496183206
1544,CA-2015-107181,2015-02-04,2015-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,0.2,29.01,2015-02,2015,0.34993968636911943
1545,CA-2015-107181,2015-02-04,2015-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,0.0,16.09,2015-02,2015,0.4699182242990654
8585,CA-2015-104808,2015-02-04,2015-02-08,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,0.2,6.04,2015-02,2015,0.3501449275362319
2000,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,5,0.0,42.04,2015-02,2015,0.2900310451879959
1999,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,1,0.0,42.02,2015-02,2015,0.2600086628302704
1998,CA-2015-131905,2015-02-06,2015-02-09,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15.0,4,0.0,7.2,2015-02,2015,0.48000000000000004
8981,CA-2015-108182,2015-02-06,2015-02-10,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,0.8,-14.77,2015-02,2015,-1.6502793296089386
850,CA-2015-107755,2015-02-07,2015-02-12,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,07036,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,0.0,49.6,2015-02,2015,0.4299583911234397
8736,US-2015-169390,2015-02-07,2015-02-10,Second Class,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,10024,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0.0,9.74,2015-02,2015,0.1499384236453202
9267,CA-2015-125759,2015-02-08,2015-02-09,First Class,NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,0.0,5.53,2015-02,2015,0.3798076923076923
